[train] init from experiments/expI_kd_dynamic/fairD_C/checkpoint.pt: loaded 261/261 keys missing=0 unexpected=0
[train] stage=D adaptive=True params=0.235M
/home/mycode/ai_study/trac/training/train.py:138: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  running[k] = running.get(k, 0.0) + float(v)
[stage D] ep 2 step 300/4366 loss 0.2231 det 0.1063 da 0.0593 lane 0.0571 budget 0.0005  150ms/step
[stage D] ep 2 step 350/4366 loss 0.2235 det 0.1064 da 0.0594 lane 0.0572 budget 0.0005  150ms/step
[stage D] ep 2 step 400/4366 loss 0.2232 det 0.1064 da 0.0592 lane 0.0571 budget 0.0005  150ms/step
[stage D] ep 2 step 450/4366 loss 0.2231 det 0.1063 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 500/4366 loss 0.2234 det 0.1064 da 0.0595 lane 0.0570 budget 0.0005  149ms/step
[stage D] ep 2 step 550/4366 loss 0.2234 det 0.1063 da 0.0596 lane 0.0570 budget 0.0005  149ms/step
[stage D] ep 2 step 600/4366 loss 0.2233 det 0.1063 da 0.0594 lane 0.0571 budget 0.0005  149ms/step
[stage D] ep 2 step 650/4366 loss 0.2230 det 0.1062 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 700/4366 loss 0.2228 det 0.1062 da 0.0593 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 750/4366 loss 0.2230 det 0.1062 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 800/4366 loss 0.2230 det 0.1063 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 850/4366 loss 0.2230 det 0.1063 da 0.0594 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 900/4366 loss 0.2230 det 0.1063 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 950/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1000/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1050/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1100/4366 loss 0.2231 det 0.1063 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1150/4366 loss 0.2230 det 0.1062 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1200/4366 loss 0.2229 det 0.1063 da 0.0593 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1250/4366 loss 0.2229 det 0.1063 da 0.0593 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1300/4366 loss 0.2230 det 0.1063 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1350/4366 loss 0.2230 det 0.1062 da 0.0594 lane 0.0569 budget 0.0005  149ms/step
[stage D] ep 2 step 1400/4366 loss 0.2229 det 0.1062 da 0.0594 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1450/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1500/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1550/4366 loss 0.2229 det 0.1062 da 0.0594 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1600/4366 loss 0.2229 det 0.1062 da 0.0594 lane 0.0568 budget 0.0005  149ms/step
